rest_name,locality,cost_for_two,rating,cuisines
Farzi Cafe,UB City,"1,500",4.4,['Modern Indian']
Delhi Highway,Indiranagar,"1,500",4.4,"['North Indian', 'Mughlai']"
Float,"D and N Enterprises, Marathahalli","1,500",4.4,"['North Indian', 'Japanese']"
Tim Tai,Koramangala 5th Block,"1,400",4.4,"['Chinese', 'Thai', 'Asian', 'Malaysian', 'Vietnamese', 'Sri Lankan', 'Burmese']"
Kaapi Katte                                     ,Rajarajeshwari Nagar,150,4.4,"['Beverages', 'South Indian', 'Fast Food']"
Kanua                                     ,Sarjapur Road,"1,400",4.4,"['Konkan', 'Mangalorean', 'Seafood']"
Alba - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road","4,000",4.4,['Italian']
Le Gateau - The Cake Shop,Old Airport Road,600,4.4,"['Desserts', 'Bakery']"
Sri Raghavendra Stores                                     ,Malleshwaram,100,4.4,['South Indian']
Le Casse Croûte,Thippasandra,800,4.4,"['Fast Food', 'Sandwich']"
Bombay Brasserie,Indiranagar,"1,800",4.4,['Modern Indian']
The Bundle Co.,MG Road,700,4.4,"['Burger', 'Continental', 'Italian', 'Beverages']"
Nevermind - Bar & Social,Indiranagar,"2,000",4.4,"['Continental', 'Asian', 'Modern Indian']"
Meghana Foods,Jayanagar,600,4.4,"['Biryani', 'Andhra', 'North Indian', 'Seafood']"
Bob's Bar,Indiranagar,"1,000",4.4,"['South Indian', 'Finger Food']"
Bombay Adda,Koramangala 7th Block,"1,100",4.4,['Modern Indian']
Raghavendra Tiffin,HSR,150,4.4,['South Indian']
Once Upon A Flame,HSR,"1,200",4.4,"['Steak', 'Continental', 'Burger', 'BBQ']"
The 13th Floor,Barton Centre,"1,700",4.4,"['Asian', 'North Indian', 'Thai']"
Gods Own Cafe                                     ,Koramangala 7th Block,300,4.4,"['South Indian', 'Kerala', 'Seafood']"
ShakesBierre,Brigade Road,"1,500",4.4,"['Asian', 'Continental', 'European', 'North Indian']"
Al Amanah Cafe,Kammanahalli,300,4.4,"['Middle Eastern', 'Fast Food', 'Rolls']"
RockSalt,St. Marks Road,"1,900",4.4,['Modern Indian']
Mahjong Room - WelcomHotel Bengaluru                                     ,WelcomHotel,"1,200",4.4,['Chinese']
Arena - Artisanal Brewkitchen,Indiranagar,"2,000",4.4,"['Sushi', 'Continental', 'Pizza', 'Italian', 'Asian']"
The Yellow Submarine,Bannerghatta Road,"1,200",4.4,"['Continental', 'North Indian', 'Chinese', 'Pizza', 'Thai']"
Kazé,Lavelle Road,"3,000",4.4,"['Asian', 'Japanese', 'Thai']"
Shivaji Military Hotel,Jayanagar,450,4.4,"['South Indian', 'Biryani']"
Gilly's 104 Bar,Koramangala 5th Block,"1,200",4.4,"['Continental', 'North Indian', 'Chinese']"
Matsuri - The Chancery Hotel                                     ,"The Chancery Hotel, Lavelle Road","1,800",4.4,['Japanese']
Sigree Global Grill,Kalyan Nagar,"1,400",4.4,"['North Indian', 'BBQ']"
Red Rhino,Whitefield,"1,700",4.4,"['Continental', 'Mediterranean', 'South Indian', 'North Indian', 'Asian']"
Shanmukha,Jayanagar,800,4.4,"['Biryani', 'Andhra', 'North Indian', 'Chinese']"
Sree Renukambha Bidadi Thatte Idli                                     ,Mysore Road,100,4.4,['South Indian']
BITEBOX,Marathahalli,300,4.4,"['North Indian', 'Chinese', 'Mughlai', 'Desserts']"
Millers 46,Vasanth Nagar,"1,100",4.4,"['American', 'Continental', 'Steak']"
Nasi And Mee,Koramangala 4th Block,"1,000",4.4,"['Malaysian', 'Thai', 'Singaporean', 'Asian', 'Chinese', 'Momos']"
