rest_name,locality,cuisines,cost_for_two,rating
"When Hunger Strikes, Batman Delivers!                                     ",HSR,['Fast Food'],400,                                         -                                     
Green Mango Restaurant                                     ,BTM,"['Kerala', 'South Indian']",300,                                         -                                     
SLV Spice Up                                     ,Marathahalli,"['South Indian', 'North Indian', 'Chinese']",400,                                         -                                     
Candy Cake                                     ,Jayanagar,['Bakery'],500,                                         -                                     
Mehek E Punjab                                     ,HSR,"['North Indian', 'Chinese']",400,                                         -                                     
Gandharva Bakery and Sweets                                     ,Ulsoor,['Bakery'],400,                                         -                                     
Topsy Turvey                                     ,Whitefield,['Finger Food'],900,                                         -                                     
Dribzz Bakes & Cafe                                     ,BTM,"['Fast Food', 'Chinese', 'Desserts']",200,                                         -                                     
Oye Mithai                                     ,Koramangala 1st Block,['Mithai'],200,                                         -                                     
Shirisha                                     ,Thippasandra,"['Sandwich', 'Juices']",250,                                         -                                     
Starve Nights                                     ,Bellandur,"['Biryani', 'Chinese', 'North Indian']",450,                                         -                                     
Panjukeshwara Juice Centre                                     ,Yeshwantpur,"['Beverages', 'Juices']",150,                                         -                                     
Nrr Sidewalk Cafe                                     ,Old Airport Road,"['Street Food', 'Beverages']",400,                                         -                                     
New Rajasthan Rasoi                                     ,Nagawara,"['North Indian', 'Rajasthani']",400,                                         -                                     
Sri Udupi Upahara                                     ,HSR,"['South Indian', 'North Indian', 'Chinese']",200,                                         -                                     
Desi Bites                                     ,CV Raman Nagar,"['North Indian', 'Chinese', 'Biryani']",400,                                         -                                     
Madurai Hotel                                     ,Commercial Street,['South Indian'],150,                                         -                                     
Copper Kitchen                                     ,Marathahalli,"['North Indian', 'Chinese']",500,                                         -                                     
Oveanly                                     ,BTM,['Bakery'],200,                                         -                                     
Janata Food Point                                     ,Kanakapura Road,"['Biryani', 'Chinese', 'Fast Food']",150,                                         -                                     
Sowmya Ambur Hot Dum Biryani                                     ,Rajajinagar,"['Biryani', 'Kebab']",300,                                         -                                     
Koobi Veg & Non-Veg                                     ,Kammanahalli,"['Chinese', 'Pizza', 'Fast Food']",450,                                         -                                     
Nanu's Shawarma                                     ,BTM,"['Chinese', 'Arabian', 'Rolls']",300,                                         -                                     
Ashwini Family Bar & Restaurant                                     ,Mysore Road,"['North Indian', 'Chinese']",700,                                         -                                     
Pitta Biryani                                     ,Bellandur,['Biryani'],400,                                         -                                     
DG Juice Club                                     ,JP Nagar,"['Beverages', 'Desserts']",250,                                         -                                     
Al-Hind Sagar Kathi Rolls                                     ,Old Airport Road,['Rolls'],150,                                         -                                     
Drag & Drool                                     ,Yelahanka,"['Cafe', 'Continental', 'Chinese', 'North Indian']",500,                                         -                                     
Choco Fudge                                     ,Marathahalli,"['Beverages', 'Fast Food', 'Ice Cream', 'Sandwich']",250,                                         -                                     
Lassi Treat                                     ,HSR,"['Beverages', 'Juices']",150,                                         -                                     
Tandoor Dum                                     ,JP Nagar,['North Indian'],600,                                         -                                     
The Cooking Table                                     ,"Varthur Main Road, Whitefield",['Fast Food'],300,                                         -                                     
Green Chilly                                     ,Rajarajeshwari Nagar,"['Andhra', 'Chinese', 'North Indian']",400,                                         -                                     
Taas Foods                                     ,Whitefield,"['Chinese', 'Fast Food', 'North Indian']",250,                                         -                                     
Hit And Run                                     ,Koramangala 4th Block,"['Chinese', 'Tibetan']",300,                                         -                                     
Meadow Kitchen                                     ,Whitefield,"['North Indian', 'Chinese']",600,                                         -                                     
Ambur Biriyani Zone                                     ,Kammanahalli,"['Biryani', 'Kebab']",200,                                         -                                     
Bihari Food Corner                                     ,BTM,"['North Indian', 'Chinese']",250,                                         -                                     
Coffee Time                                     ,BTM,"['Sandwich', 'Juices', 'Burger']",150,                                         -                                     
The Shed                                     ,Sarjapur Road,"['Cafe', 'Fast Food']",400,                                         -                                     
Jerrys  The Grill                                     ,Banaswadi,"['BBQ', 'Chinese']",250,                                         -                                     
Sri Durga Donne Biryani                                     ,Ejipura,['Biryani'],150,                                         -                                     
Shree  Ganesha Hotel                                     ,Bommanahalli,['South Indian'],200,                                         -                                     
Cafe Knight                                     ,Marathahalli,"['Fast Food', 'North Indian']",200,                                         -                                     
Oasis Food Center                                     ,Basavanagudi,['Fast Food'],150,                                         -                                     
North2South Foodie                                     ,Marathahalli,"['South Indian', 'North Indian']",400,                                         -                                     
New Taj Dum Biryani                                     ,Rammurthy Nagar,"['Biryani', 'Kebab']",250,                                         -                                     
Wood Stove                                     ,Banashankari,['South Indian'],150,                                         -                                     
V20                                     ,"By The Way, Electronic City","['North Indian', 'Continental']",300,                                         -                                     
SLN Bar and Restaurant                                     ,Banashankari,"['North Indian', 'Chinese']",700,                                         -                                     
Rock & Roll                                     ,Yelahanka,"['Fast Food', 'Rolls']",200,                                         -                                     
Nukkad Point                                     ,Old Airport Road,['North Indian'],150,                                         -                                     
Ambur Dum Biryani                                     ,Bellandur,"['Biryani', 'South Indian']",250,                                         -                                     
Juice Spot                                     ,HSR,"['Beverages', 'Juices', 'Sandwich']",150,                                         -                                     
Spice Room                                     ,Kalyan Nagar,['Andhra'],400,                                         -                                     
Take Away                                     ,Rammurthy Nagar,['North Indian'],500,                                         -                                     
Bangalore Pizza & Pulse Juice Bar                                     ,"Gopalan Innovation Mall, Bannerghatta","['Juices', 'Pizza']",500,                                         -                                     
Sri Vasavi Chowdeswari Chats And Juice Center                                     ,Kumaraswamy Layout,"['Beverages', 'Street Food']",150,                                         -                                     
Hotel Bismillah                                     ,HSR,"['Biryani', 'Chinese', 'Kebab', 'North Indian']",400,                                         -                                     
Sambhram                                     ,Malleshwaram,"['South Indian', 'Biryani']",250,                                         -                                     
Bangalore Idly Shop                                     ,Banaswadi,['South Indian'],150,                                         -                                     
New Jyothi Grand                                     ,Kengeri,"['South Indian', 'North Indian', 'Chinese']",400,                                         -                                     
Kolkata Famous Kati Roll                                     ,Banaswadi,['Rolls'],100,                                         -                                     
Loca - The World Of Kitchen                                     ,New BEL Road,['South Indian'],200,                                         -                                     
Pohawala                                     ,Bannerghatta Road,['Fast Food'],100,                                         -                                     
Taste Of North                                     ,CV Raman Nagar,['Mithai'],350,                                         -                                     
Hotel SRV                                     ,HSR,"['South Indian', 'Biryani']",300,                                         -                                     
Renees Cake Art                                     ,"Varthur Main Road, Whitefield","['Bakery', 'Desserts']",400,                                         -                                     
Uncle's Point                                     ,Rajarajeshwari Nagar,['Chinese'],300,                                         -                                     
Cafe Light House                                     ,Electronic City,"['Kerala', 'Seafood']",500,                                         -                                     
Hotel Sultan                                     ,Bommanahalli,['Kebab'],250,                                         -                                     
Taste Of North                                     ,CV Raman Nagar,['Mithai'],350,                                         -                                     
Hotel SRV                                     ,HSR,"['South Indian', 'Biryani']",300,                                         -                                     
Renees Cake Art                                     ,"Varthur Main Road, Whitefield","['Bakery', 'Desserts']",400,                                         -                                     
Uncle's Point                                     ,Rajarajeshwari Nagar,['Chinese'],300,                                         -                                     
Cafe Light House                                     ,Electronic City,"['Kerala', 'Seafood']",500,                                         -                                     
Hotel Sultan                                     ,Bommanahalli,['Kebab'],250,                                         -                                     
JK Home Foods                                     ,Kammanahalli,"['South Indian', 'North Indian']",200,                                         -                                     
The B2B Cart                                     ,Basaveshwara Nagar,['Fast Food'],300,                                         -                                     
Bak'd Goodies                                     ,Electronic City,['Bakery'],350,                                         -                                     
Jawari Dabba                                     ,Vijay Nagar,['South Indian'],100,                                         -                                     
Sankranti Upachar                                     ,RT Nagar,"['South Indian', 'Chinese']",150,                                         -                                     
Savandh's Kitchen - Donne Biryani                                     ,BTM,"['Biryani', 'South Indian']",350,                                         -                                     
The Joint Family Kitchen                                     ,Frazer Town,"['Fast Food', 'Beverages']",500,                                         -                                     
Cake My Day                                     ,Lavelle Road,['Desserts'],450,                                         -                                     
Rolls & Biryani                                     ,Old Airport Road,['Rolls'],250,                                         -                                     
Bihari Hotel                                     ,Brigade Road,['Bihari'],200,                                         -                                     
Ambur Biryani Zone                                     ,Malleshwaram,"['Biryani', 'Kebab']",150,                                         -                                     
Mom's Flavor                                     ,Marathahalli,['North Indian'],400,                                         -                                     
New Ambur Special Dum Biryani                                     ,Malleshwaram,"['Biryani', 'Kebab']",250,                                         -                                     
Lassi World                                     ,Rammurthy Nagar,"['Beverages', 'Juices']",150,                                         -                                     
Raya Mess                                     ,Hennur,['South Indian'],100,                                         -                                     
Lassi Lounge                                     ,Banaswadi,"['Beverages', 'Fast Food']",300,                                         -                                     
Dabba Delight's                                     ,Koramangala 4th Block,['North Indian'],350,                                         -                                     
Cane Katte                                     ,Rajarajeshwari Nagar,['Beverages'],100,                                         -                                     
New Udupi Anand Bhavan                                     ,Basavanagudi,['South Indian'],150,3.5
Pathak's Kitchen                                     ,HSR,"['North Indian', 'Chinese']",300,                                         -                                     
Prerna Homemade Punjabi Food                                     ,RT Nagar,['North Indian'],300,3.4
Veerabhadreshwara Mess & Tiffen                                     ,Peenya,['South Indian'],150,                                         -                                     
SRF Family Restaurant                                     ,Whitefield,"['Chinese', 'North Indian']",250,                                         -                                     
Eat N Joy                                     ,Rajarajeshwari Nagar,['Fast Food'],150,                                         -                                     
Nasma Restaurant                                     ,Electronic City,"['North Indian', 'Chinese', 'Arabian']",550,                                         -                                     
S.L.V. Donne Biryani                                     ,Malleshwaram,"['Biryani', 'Kebab']",300,                                         -                                     
Waffle Secrets                                     ,HSR,['Desserts'],200,                                         -                                     
Tandoor Plaza                                     ,Bannerghatta Road,['North Indian'],500,                                         -                                     
RKA Brahmins Coffee Bar                                     ,Electronic City,['South Indian'],150,                                         -                                     
Annapooraneshwari Mess                                     ,Banashankari,['South Indian'],200,                                         -                                     
Home Treats                                     ,JP Nagar,"['Bakery', 'Desserts']",250,                                         -                                     
Swaad                                     ,New BEL Road,['Bengali'],400,                                         -                                     
Chandan Shawarma's                                     ,New BEL Road,['Lebanese'],200,                                         -                                     
Oolala                                     ,Koramangala 1st Block,"['Bakery', 'Desserts']",600,                                         -                                     
Godumana Moddha Hotel                                     ,Mysore Road,['Biryani'],250,                                         -                                     
Shanti Sweets                                     ,Rammurthy Nagar,"['Mithai', 'Street Food']",100,                                         -                                     
Casrod Naaz                                     ,Jalahalli,"['Mughlai', 'North Indian', 'Chinese']",450,                                         -                                     
Barbeque On Wheels                                     ,BTM,['BBQ'],250,                                         -                                     
Kolkata Famous Kati Roll                                     ,KR Puram,['Rolls'],150,                                         -                                     
Ice box                                     ,Frazer Town,"['Ice Cream', 'Beverages', 'Fast Food']",200,                                         -                                     
Lechem                                     ,Kalyan Nagar,['North Indian'],600,                                         -                                     
Sai Sagar Food Court                                     ,Electronic City,"['South Indian', 'North Indian', 'Chinese']",300,                                         -                                     
M.B.M.& Lassi center                                     ,Basavanagudi,['Beverages'],100,                                         -                                     
MS Ambur Hot Dum Biryani                                     ,Jalahalli,['Biryani'],200,                                         -                                     
Bharat Momos                                     ,Shanti Nagar,"['Tibetan', 'Momos']",100,                                         -                                     
Richbite Indian Spice                                     ,"Bangalore Central, JP Nagar",['North Indian'],500,                                         -                                     
Ayaan Kolkata Biriyani                                     ,Yeshwantpur,"['Biryani', 'Rolls']",200,                                         -                                     
Cream & Basil                                     ,Jakkur,['Cafe'],500,                                         -                                     
Kolkata Famous Kati Roll                                     ,Electronic City,['Fast Food'],150,                                         -                                     
Foodoor                                     ,Yelahanka,['North Indian'],250,                                         -                                     
Sweenack Sweets                                     ,Kammanahalli,['Mithai'],400,                                         -                                     
Juice And Joy                                     ,Jayanagar,"['Beverages', 'Fast Food']",150,                                         -                                     
Inhouse Burger                                     ,Whitefield,"['Burger', 'Fast Food']",500,                                         -                                     
Andhra Ruchies                                     ,New BEL Road,"['Andhra', 'Biryani']",400,                                         -                                     
Mukesh Sweet Centre                                     ,Banashankari,['Mithai'],300,                                         -                                     
Bismilla Star Biriyani                                     ,Banaswadi,"['Biryani', 'North Indian']",200,                                         -                                     
India Natural Fresh Fruit Juice. Co                                     ,"Gopalan Arcade, Rajarajeshwari Nagar","['Beverages', 'Juices']",150,                                         -                                     
Traffic Restaurant                                     ,Marathahalli,['South Indian'],250,                                         -                                     
Royal Streak Foods                                     ,Wilson Garden,"['Biryani', 'Kebab']",150,                                         -                                     
Lassi Cafe                                     ,Koramangala 6th Block,"['Fast Food', 'Beverages']",250,                                         -                                     
Food Junction                                     ,Whitefield,['Street Food'],100,                                         -                                     
Parthvi's Kitchen                                      ,Basaveshwara Nagar,['North Indian'],150,                                         -                                     
Posto-The Authentic Homemade Bengali Food                                     ,Whitefield,['Bengali'],400,                                         -                                     
Cafe De Dakshin                                     ,Yelahanka,"['Cafe', 'Fast Food']",500,                                         -                                     
Amrutha Restaurant                                     ,Bommanahalli,"['South Indian', 'North Indian', 'Chinese']",250,                                         -                                     
Chill Out Bar                                     ,Hotel Bella Vista ,"['Finger Food', 'Fast Food']","1,500",                                         -                                     
Sapid Cafe                                     ,Hennur,['Fast Food'],250,                                         -                                     
New Select Hotel                                     ,Jayanagar,['South Indian'],150,                                         -                                     
Annam Ilaiyil                                     ,Bannerghatta Road,['South Indian'],450,                                         -                                     
Cool Juice Corner                                     ,Banashankari,"['Juices', 'Fast Food']",150,                                         -                                     
Comboeats                                     ,HSR,"['Chinese', 'Continental', 'Seafood', 'North Indian']",550,                                         -                                     
Hotpot EggStacy Chinese                                     ,New BEL Road,['Chinese'],250,                                         -                                     
Kaumudis Juoice                                     ,Banashankari,"['Beverages', 'Fast Food', 'Juices']",150,                                         -                                     
Royal Restraurant                                     ,JP Nagar,"['Fast Food', 'Biryani']",250,                                         -                                     
Hotel New Karthik                                     ,Rajarajeshwari Nagar,['South Indian'],150,                                         -                                     
Karnataka Hindu Miltary Hotel                                     ,Rajarajeshwari Nagar,['South Indian'],250,                                         -                                     
Al-Shadab Cafe                                     ,Kammanahalli,"['Biryani', 'Kebab']",200,                                         -                                     
Cake Mane                                     ,Marathahalli,['Bakery'],400,                                         -                                     
Sparkling Snacks Bar                                     ,CV Raman Nagar,"['Fast Food', 'Beverages']",200,                                         -                                     
Jiffy Fast Food                                     ,Bannerghatta Road,"['Arabian', 'Juices']",200,                                         -                                     
Dips                                     ,"Elements Mall, Nagawara",['Fast Food'],250,                                         -                                     
Pulpy Ninja                                     ,Koramangala 6th Block,"['Fast Food', 'Beverages']",150,                                         -                                     
Stajasia Ahara                                     ,Bannerghatta Road,['Mexican'],100,                                         -                                     
Curries & Pickles                                     ,Bommanahalli,"['Andhra', 'Chinese']",300,                                         -                                     
Sree Ganesha Fruit Juice Centre                                     ,Jayanagar,['Juices'],100,                                         -                                     
Regal Cafe                                     ,BTM,"['Street Food', 'Juices']",200,                                         -                                     
Bhojana Restaurant                                     ,Whitefield,"['Andhra', 'South Indian']",250,                                         -                                     
Rip Cafe                                     ,Kanakapura Road,['Cafe'],300,                                         -                                     
AULI                                     ,Thippasandra,['Continental'],500,                                         -                                     
Crunchy Kitchen                                     ,Jakkur,['Chinese'],300,                                         -                                     
The Fitness Cafe                                     ,"Varthur Main Road, Whitefield","['Healthy Food', 'Salad']",400,                                         -                                     
Foodzoo                                     ,Koramangala 1st Block,"['Fast Food', 'Burger']",450,                                         -                                     
Shri Basaveshwar Khanavali                                     ,Bommanahalli,['South Indian'],250,                                         -                                     
Sunsadm                                     ,Banashankari,['South Indian'],400,                                         -                                     
5 Degree Centigrade                                     ,"Forum Mall, Koramangala","['Beverages', 'Ice Cream']",150,                                         -                                     
Santruptii Sagar                                     ,CV Raman Nagar,"['South Indian', 'Street Food']",200,                                         -                                     
Ligang                                     ,Koramangala 8th Block,['North Eastern'],450,                                         -                                     
Jagannath Hotel                                     ,Marathahalli,"['North Indian', 'Bengali']",400,                                         -                                     
Bismilla Royal Biryani Point                                     ,KR Puram,"['Biryani', 'North Indian']",300,                                         -                                     
Cluckees                                     ,Whitefield,['Fast Food'],300,                                         -                                     
Sri Venkateshwara Utsav                                     ,Rajajinagar,"['South Indian', 'North Indian', 'Chinese']",400,                                         -                                     
4-States                                     ,Bellandur,['South Indian'],250,                                         -                                     
Kadavathur Cafe                                     ,New BEL Road,['Fast Food'],200,                                         -                                     
Chaat Mane                                     ,Wilson Garden,"['Chinese', 'Street Food']",200,                                         -                                     
Green Chillies                                     ,Whitefield,"['North Indian', 'South Indian', 'Chinese']",750,                                         -                                     
Chillout                                     ,Electronic City,['Chinese'],300,                                         -                                     
Pretty Baked                                     ,Hennur,"['Bakery', 'Desserts']",300,                                         -                                     
Healthy Bill                                     ,Electronic City,"['Salad', 'Sandwich', 'Fast Food', 'Beverages', 'Juices']",200,                                         -                                     
Dallas Hot & Cold                                     ,JP Nagar,['Fast Food'],300,                                         -                                     
Sri Krishna Delight                                      ,BTM,"['North Indian', 'South Indian']",250,                                         -                                     
Annapoorneshwari Hotel                                     ,Nagawara,"['South Indian', 'Andhra', 'Chinese']",300,                                         -                                     
Eat Out Zone                                     ,Sanjay Nagar,"['North Indian', 'Street Food']",250,                                         -                                     
Oggarney                                     ,Sahakara Nagar,"['Chinese', 'South Indian']",350,                                         -                                     
Nawabi Tandoor Davasuni                                     ,Sahakara Nagar,['North Indian'],250,                                         -                                     
Dallas Hot & Cold                                     ,JP Nagar,['Fast Food'],300,                                         -                                     
Sri Krishna Delight                                      ,BTM,"['North Indian', 'South Indian']",250,                                         -                                     
Annapoorneshwari Hotel                                     ,Nagawara,"['South Indian', 'Andhra', 'Chinese']",300,                                         -                                     
Eat Out Zone                                     ,Sanjay Nagar,"['North Indian', 'Street Food']",250,                                         -                                     
Oggarney                                     ,Sahakara Nagar,"['Chinese', 'South Indian']",350,                                         -                                     
Nawabi Tandoor Davasuni                                     ,Sahakara Nagar,['North Indian'],250,                                         -                                     
RK Fast Food                                     ,BTM,"['South Indian', 'Chinese']",300,                                         -                                     
Jyoti's Kitchen-Donne Biryani                                     ,Electronic City,"['South Indian', 'North Indian', 'Chinese']",300,                                         -                                     
Hotel Gowdru Mane                                     ,Banaswadi,"['South Indian', 'Mangalorean', 'Chinese', 'Juices']",400,                                         -                                     
S.S Naati Style Hotel                                     ,Rajajinagar,"['Biryani', 'South Indian']",300,                                         -                                     
HOTEL VKM                                     ,BTM,['South Indian'],300,                                         -                                     
Hotel Trupthi                                     ,Basavanagudi,"['South Indian', 'Chinese', 'North Indian']",200,                                         -                                     
Ambur Hot Dum Biriyani                                     ,Rajajinagar,['Biryani'],250,                                         -                                     
Maa Sharda Hotel                                     ,Electronic City,"['North Indian', 'Chinese']",350,                                         -                                     
Rraps                                     ,Electronic City,"['Chinese', 'North Indian']",700,                                         -                                     
Karavalli Bites                                     ,Nagawara,"['Mangalorean', 'Seafood']",400,                                         -                                     
Toasted Chapter 1                                     ,Domlur,['Fast Food'],250,                                         -                                     
Chillax Point                                     ,Bannerghatta Road,"['North Indian', 'Chinese']",300,                                         -                                     
Burritto                                     ,Marathahalli,['Chinese'],200,                                         -                                     
Quality Dum Biriyani                                     ,Sahakara Nagar,['Biryani'],250,                                         -                                     
Trimit                                     ,Hebbal,"['Fast Food', 'Chinese', 'North Indian']",200,                                         -                                     
Sugarkiss Bake Studio                                     ,Whitefield,['Bakery'],400,                                         -                                     
Hotel Akshaya Restaurant                                     ,JP Nagar,"['Biryani', 'Kebab']",400,                                         -                                     
Four Seasons                                     ,Sarjapur Road,"['Fast Food', 'North Indian']",500,                                         -                                     
Darbari Juice n Ice                                     ,JP Nagar,"['Beverages', 'Ice Cream']",150,                                         -                                     
Dhe Chef Cafe                                     ,BTM,"['North Indian', 'Rolls']",200,                                         -                                     
Mumbai Kulfi                                     ,Marathahalli,"['Desserts', 'Ice Cream']",200,                                         -                                     
Chef Cornor                                     ,Whitefield,"['North Indian', 'South Indian', 'Chinese']",400,                                         -                                     
Bong Memory                                     ,Hennur,['Bengali'],200,                                         -                                     
Express Food Point                                     ,JP Nagar,"['South Indian', 'Kerala']",300,                                         -                                     
Henchina Mane Restaurant & Bar                                     ,JP Nagar,"['South Indian', 'North Indian']",700,                                         -                                     
Fire & Slice                                     ,Marathahalli,['North Indian'],400,                                         -                                     
Kolkata No.1 Kati Rolls                                     ,New BEL Road,"['Fast Food', 'Rolls']",200,                                         -                                     
Hotel Muthu                                     ,BTM,['South Indian'],200,                                         -                                     
Rock On Rolls & Parathas                                     ,"Gopalan Innovation Mall, Bannerghatta",['Rolls'],250,                                         -                                     
VT Bakes                                     ,Banaswadi,"['Bakery', 'Desserts']",200,                                         -                                     
TeaChaTe Express                                     ,JP Nagar,"['Fast Food', 'Tea']",150,                                         -                                     
Maza E Hind                                     ,Bellandur,['North Indian'],300,                                         -                                     
BMR Cafe                                      ,Kammanahalli,['Cafe'],500,                                         -                                     
Health Kitchen                                     ,Bommanahalli,"['Healthy Food', 'Juices']",300,                                         -                                     
Grandees Bakes & Juice                                     ,Brookefield,"['Bakery', 'Fast Food', 'Juices']",250,                                         -                                     
Udupi Thadka                                     ,BTM,"['South Indian', 'Chinese', 'North Indian']",250,                                         -                                     
Naati Houz                                     ,Marathahalli,['South Indian'],300,                                         -                                     
Hotel Halli Ruchi                                     ,Sahakara Nagar,"['Chinese', 'North Indian', 'South Indian']",500,                                         -                                     
Village Cafe Bangalore                                     ,Bommanahalli,"['North Indian', 'South Indian', 'Kerala', 'Chinese']",350,                                         -                                     
Salkara Arabian Delight & Bakes                                     ,Koramangala 1st Block,"['Arabian', 'Biryani', 'Beverages', 'Rolls']",300,                                         -                                     
Udupi Veg                                     ,Rajajinagar,['South Indian'],100,                                         -                                     
Hotel Sri Kumar Bhavan                                     ,BTM,['South Indian'],200,                                         -                                     
Yaadgar Biriyani                                     ,HSR,"['North Indian', 'Biryani']",600,                                         -                                     
Venkat Naidu Restaurant                                     ,Basaveshwara Nagar,"['Biryani', 'Kebab', 'South Indian']",200,                                         -                                     
Sweet Melts                                     ,JP Nagar,"['Desserts', 'Ice Cream']",400,                                         -                                     
Krishna Bhojan                                     ,Marathahalli,['North Indian'],300,                                         -                                     
Metro Fast Food                                     ,HSR,"['Biryani', 'Kebab']",300,                                         -                                     
Blends Juice Cafe                                     ,BTM,"['Beverages', 'Desserts']",200,                                         -                                     
Anytime Cake                                     ,Banaswadi,['Bakery'],800,                                         -                                     
The Nourished Kitchen                                     ,BTM,"['Asian', 'Continental', 'Healthy Food']",400,                                         -                                     
Sree Food Paradise                                     ,BTM,"['North Indian', 'Biryani']",150,                                         -                                     
Ranjitha Food Court                                     ,HSR,['South Indian'],300,                                         -                                     
Hatti Punjab Di                                     ,Jayanagar,"['North Indian', 'Chinese']",600,                                         -                                     
Indian Masala House                                     ,CV Raman Nagar,['South Indian'],250,                                         -                                     
Teekhi Mirrchi                                     ,Bellandur,"['Chinese', 'North Indian']",700,                                         -                                     
late100                                     ,BTM,"['North Indian', 'Kebab']",200,                                         -                                     
Ambur Hotel                                     ,Bannerghatta Road,['South Indian'],250,                                         -                                     
Friends Zone                                     ,Vijay Nagar,['North Indian'],250,                                         -                                     
Bangarpet Chats And The Juice House                                     ,BTM,"['Street Food', 'Juices', 'Beverages']",150,                                         -                                     
