rest_name,locality,cuisines,cost_for_two,rating
You Mee                                     ,Whitefield,"['Sushi', 'Japanese', 'Chinese', 'Thai']","2,000",4.7
Broadway - The Gourmet Theatre                                     ,HSR,"['Japanese', 'North Indian', 'Italian', 'Korean', 'Mexican', 'Thai']","1,800",4.2
Hoppipola                                     ,Church Street,"['Continental', 'Mediterranean', 'European']","1,300",4.3
Nando's                                     ,Indiranagar,"['Portuguese', 'Wraps', 'Burger', 'Salad']","1,200",4.3
Barkaas- Arabic Restaurant                                     ,Marathahalli,"['Arabian', 'Biryani', 'Desserts', 'Beverages', 'Salad']","1,000",4.3
Gufha - The President Hotel                                     ,"The President Hotel, Jayanagar","['North Indian', 'Mughlai', 'Afghan']","1,200",4.1
Melange - Radisson Blu                                     ,"Radisson Blu, Marathahalli","['North Indian', 'Continental', 'Chinese', 'South Indian']","2,700",4.5
Urban Tamaasha                                     ,Indiranagar,"['North Indian', 'Chinese', 'Continental']","1,200",4.1
The Twisted Desi                                     ,Indiranagar,"['Continental', 'Italian', 'North Indian', 'Chinese']","1,000",4.7
Uno Chicago Bar & Grill                                     ,Whitefield,"['American', 'Italian']","1,800",4.2
La Pino'z Pizza                                     ,Koramangala 4th Block,"['Italian', 'Pizza', 'Beverages']",500,4.1
BabaYaga's                                     ,Indiranagar,"['American', 'Finger Food']","1,500",4
Sultans of Spice                                     ,"BluPetal Hotel, Koramangala","['North Indian', 'Mughlai', 'Salad']","1,300",4.5
Burger King                                     ,HSR,"['Burger', 'Fast Food', 'Beverages']",600,4.1
Let's Souffle                                     ,Koramangala 5th Block,['Desserts'],400,                                         NEW                                     
1947,Jayanagar,"['North Indian', 'Chinese']",950,4.1
The White Room - Coffee & Kitchen                                     ,Church Street,"['Cafe', 'Continental', 'American', 'Desserts']","1,000",4.1
Bonum cibum                                     ,HSR,"['Lebanese', 'Turkish']","1,200",4.5
Off D' Hook                                     ,Marathahalli,"['Continental', 'North Indian', 'Andhra', 'Chinese']",900,3.9
Mamagoto                                     ,Indiranagar,"['Asian', 'Thai', 'Chinese', 'BBQ', 'Momos']","1,600",4.4
Easy Tiger                                     ,Church Street,"['Finger Food', 'Continental']","1,100",4.3
Roundup Cafe                                     ,Koramangala 5th Block,"['Cafe', 'Continental', 'Beverages']",800,4.2
Le Arabia                                     ,Basaveshwara Nagar,"['North Indian', 'Mughlai']",800,4.4
