rest_name,locality,cost_for_two,rating,votes,cuisines
Big Wong XL,Koramangala 5th Block,"1,400",4.5,735,"['Chinese', 'Sushi', 'Asian', 'Thai']"
Prost Brew Pub,Koramangala 4th Block,"1,800",4.5,7991,"['American', 'Continental', 'North Indian', 'Salad']"
Alba - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road","4,000",4.5,582,['Italian']
Sultans of Spice,"BluPetal Hotel, Koramangala","1,300",4.5,3497,"['North Indian', 'Mughlai', 'Salad']"
Sharief Bhai,Koramangala 5th Block,700,4.5,1657,"['Mughlai', 'Biryani']"
eat.fit,HSR,500,4.5,1260,"['Healthy Food', 'North Indian', 'Biryani', 'Continental', 'Desserts']"
Pasta Street,Indiranagar,"1,300",4.5,1726,"['Italian', 'Pizza', 'Salad']"
Aligarh House,HSR,400,4.5,631,"['North Indian', 'Biryani', 'Awadhi', 'Mughlai']"
Sea Rock,Seshadripuram,"1,000",4.5,519,"['Mangalorean', 'Seafood', 'South Indian', 'North Indian', 'Chinese', 'Mughlai']"
99 Pancakes,Koramangala 5th Block,300,4.5,360,"['Desserts', 'Beverages', 'Cafe', 'Ice Cream']"
Sixth Avenue Cafe And Patisserie,Koramangala 5th Block,600,4.5,213,"['Cafe', 'Italian', 'Desserts']"
Dyu Art Cafe,Koramangala 5th Block,800,4.5,3892,"['Cafe', 'Italian', 'Fast Food']"
Opus Food Stories,"OPUS, Sarjapur Road","1,800",4.5,206,"['Goan', 'Asian', 'North Indian', 'European', 'Continental']"
Mavalli Tiffin Room (MTR),Basavanagudi,250,4.5,2939,['South Indian']
Apsara Ice Cream,Indiranagar,200,4.5,215,"['Ice Cream', 'Desserts']"
Nakkshatra,Marathahalli,900,4.5,453,"['North Indian', 'Chinese']"
Avista Cafe Pizzeria,Hennur,650,4.5,514,"['Cafe', 'Italian']"
Seven Ate Nine,HSR,700,4.5,107,"['Modern Indian', 'South Indian', 'Pizza', 'Burger', 'Rolls']"
Hard Rock Cafe,St. Marks Road,"2,500",4.5,5318,"['American', 'BBQ']"
The Hole in the Wall Cafe,Koramangala 4th Block,600,4.5,7189,"['Cafe', 'American', 'Burger']"
Choco Cheese,BTM,300,4.4,63,"['Desserts', 'Beverages']"
"Lush - Renaissance Hotel, Bengaluru","Renaissance Hotel, Race Course Road","1,200",4.4,444,"['North Indian', 'Continental']"
Taiki,Indiranagar,"1,200",4.4,165,"['Japanese', 'Korean', 'Thai', 'Asian', 'Sushi', 'Desserts']"
Fava,UB City,"1,200",4.4,2070,"['Healthy Food', 'Mediterranean', 'Desserts', 'Italian', 'Pizza', 'Salad', 'Kebab']"
Sigree Global Grill,Kalyan Nagar,"1,400",4.4,1131,"['Rajasthani', 'Gujarati', 'North Indian']"
Blue Ginger - The Taj West End,"The Taj West End, Race Course Road","3,200",4.4,520,['Vietnamese']
Siddiqu Kabab Center,Richmond Road,250,4.4,187,"['Kebab', 'Rolls']"
Mamagoto,Indiranagar,"1,600",4.4,2596,"['Asian', 'Thai', 'Chinese', 'BBQ', 'Momos']"
The Flying Trapeze,Koramangala 5th Block,"1,500",4.4,124,"['Continental', 'North Indian', 'Chinese', 'Modern Indian', 'Asian']"
Thai Chy,Indiranagar,"1,200",4.4,497,"['Thai', 'Asian', 'Indonesian']"
Mooch Marod,Whitefield,350,4.4,511,['North Indian']
Ssaffron - Shangri-La Hotel,"Shangri-La Hotel, Vasanth Nagar ","3,000",4.4,758,['North Indian']
Oh! Calcutta,Church Street,"1,200",4.4,1157,"['Bengali', 'Seafood']"
The Konkan - Seafood Restaurant,St. Marks Road,850,4.4,222,"['Seafood', 'Konkan', 'Mangalorean']"
Le Arabia,Basaveshwara Nagar,800,4.4,1037,"['North Indian', 'Mughlai']"
S N Refreshments,JP Nagar,100,4.4,669,['South Indian']
Brahma Brews,JP Nagar,"1,400",4.4,530,"['Continental', 'South Indian', 'Finger Food', 'Pizza', 'Seafood']"
Makers of Milkshakes,Koramangala 5th Block,400,4.4,65,['Beverages']
Café Kaffea,Vijay Nagar,600,4.4,228,"['Cafe', 'Continental', 'Beverages']"
Pot-O-Noodles,Indiranagar,800,4.4,112,"['Chinese', 'Asian', 'Japanese']"
Raghavendra Tiffin,HSR,150,4.4,249,['South Indian']
Le Casse Croûte,Thippasandra,800,4.4,601,"['Fast Food', 'Sandwich']"
Once Upon A Flame,HSR,"1,200",4.4,2122,"['Steak', 'Continental', 'Burger', 'BBQ']"
Pot-O-Noodles,Koramangala 4th Block,800,4.4,205,"['Chinese', 'Asian', 'Japanese']"
Matteo Coffea,Church Street,600,4.4,2662,['Cafe']
Hae Kum Gang,Brigade Road,"1,100",4.4,1218,"['Korean', 'Chinese', 'Japanese']"
Maravanthe,Indiranagar,"1,000",4.4,728,"['Seafood', 'Mangalorean']"
The Himalayan,Koramangala 5th Block,"1,200",4.4,339,['Korean']
Third Wave Coffee Roasters,Koramangala 4th Block,800,4.4,1242,"['Cafe', 'Continental', 'Desserts']"
Haute,Indiranagar,"1,200",4.4,130,"['Continental', 'European', 'Asian', 'Seafood', 'Spanish']"
RockSalt,St. Marks Road,"1,900",4.4,513,['Modern Indian']
YORK St.,Koramangala 5th Block,700,4.4,977,"['Cafe', 'European', 'Continental']"
Shizusan Shophouse & Bar,Whitefield,"1,800",4.4,1329,"['Asian', 'Japanese', 'Vietnamese', 'Korean', 'Chinese', 'Thai']"
Food Coma,Indiranagar,800,4.4,78,"['Continental', 'North Indian', 'Chinese']"
Art of Delight,Residency Road,400,4.4,1923,"['Ice Cream', 'Desserts', 'Beverages']"
Salvadores,MG Road,"2,000",4.4,200,"['Mediterranean', 'Continental', 'French', 'Italian']"
Hari Super Sandwich,Jayanagar,200,4.4,1843,"['Fast Food', 'Street Food']"
Enchanted Garden,Whitefield,"1,400",4.4,533,"['North Indian', 'Continental', 'Italian', 'Cafe', 'Pizza', 'Finger Food']"
Tree Tops Bar & Kitchen,"Hotel Southern Star, Lavelle Road","1,000",4.4,180,"['North Indian', 'Chinese', 'Continental', 'Italian']"
Black Deer,Rajarajeshwari Nagar,350,4.4,85,"['Beverages', 'Ice Cream', 'Desserts']"
JW Kitchen - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road","2,200",4.4,2155,"['North Indian', 'Continental', 'Italian']"
Drunkling - Sizzlers and Pub,Koramangala 5th Block,"1,000",4.4,352,"['Chinese', 'Continental', 'North Indian', 'Burger', 'Pizza', 'Seafood']"
Hotel Tom's Restaurant,Richmond Road,"1,000",4.4,730,"['Mangalorean', 'Seafood', 'Chinese', 'North Indian']"
Myu Bar at Gilly's Redefined,"Gilly's Redefined, Koramangala 4th Block","1,200",4.4,1295,"['American', 'North Indian', 'Pizza', 'Finger Food', 'Continental', 'Italian']"
The Old Fashioned Bar,Koramangala 6th Block,"1,000",4.4,644,"['Finger Food', 'North Indian', 'Continental']"
The Creek - The Den Bengaluru,"The Den, Whitefield","2,000",4.4,399,"['North Indian', 'Continental', 'Chinese']"
Hype - Shangri-La Hotel,"Shangri-La Hotel, Vasanth Nagar ","3,000",4.4,378,['Finger Food']
Chavadi,Bannerghatta Road,"1,200",4.4,2296,"['Continental', 'North Indian', 'Pizza', 'Italian']"
Malleshwaram Dosa Corner,Malleshwaram,120,4.4,124,['South Indian']
Melange - Radisson Blu,"Radisson Blu, Marathahalli","2,700",4.4,808,"['North Indian', 'Continental', 'Chinese', 'South Indian']"
The Bundle Co.,MG Road,700,4.4,240,"['Burger', 'Continental', 'Italian', 'Beverages']"
Teburu,Kalyan Nagar,800,4.4,214,"['Asian', 'Chinese', 'Japanese', 'BBQ']"
Millers 46,Vasanth Nagar,"1,100",4.4,2288,"['American', 'Continental', 'Steak']"
Le Gateau - The Cake Shop,Old Airport Road,600,4.4,547,"['Desserts', 'Bakery']"
Salt - Indian Restaurant - Bar & Grill,"VR Bengaluru, Whitefield","1,500",4.4,2096,['North Indian']
Kaapi Katte,Rajarajeshwari Nagar,150,4.4,559,"['Beverages', 'South Indian', 'Fast Food']"
Red Rhino,Whitefield,"1,700",4.4,2004,"['Continental', 'Mediterranean', 'South Indian', 'North Indian', 'Asian']"
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,100,4.4,349,['South Indian']
GMT - Gelateria Montecatini Terme,Lavelle Road,300,4.4,71,"['Desserts', 'Ice Cream']"
The Roastery,Kalyan Nagar,500,4.4,176,['Cafe']
Al Amanah Cafe,Kammanahalli,300,4.4,1518,"['Middle Eastern', 'Fast Food', 'Rolls']"
GMT - Gelateria Montecatini Terme,Indiranagar,300,4.4,285,"['Desserts', 'Ice Cream']"
Ging - Royal Orchid Central,"Royal Orchid Central, MG Road","2,000",4.4,235,['Asian']
Karama Restaurant,Frazer Town,750,4.4,2989,"['Arabian', 'North Indian', 'Beverages']"
Lavonne,Indiranagar,800,4.4,1147,"['Cafe', 'Desserts']"
Punjab Bistro,Koramangala 7th Block,"1,500",4.4,501,['North Indian']
Cirkus,HSR,"1,400",4.4,434,"['North Indian', 'Continental', 'Fast Food', 'Beverages', 'Pizza']"
Shivaji Military Hotel,Jayanagar,450,4.4,2593,"['South Indian', 'Biryani']"
Sidewalk - The Garden Bar,Marathahalli,"1,300",4.4,3143,"['North Indian', 'Continental', 'Chinese', 'Thai']"
Masala Klub - The Taj West End,"The Taj West End, Race Course Road","4,000",4.4,311,"['North Indian', 'South Indian']"
Mumbai Tiffin,HSR,400,4.4,1328,['North Indian']
Wild Thyme Restaurant,Koramangala 5th Block,800,4.4,48,"['Chinese', 'Continental', 'North Indian', 'Italian', 'Seafood']"
Vidyarthi Bhavan,Basavanagudi,150,4.4,4500,['South Indian']
The Lantern Restaurant & Bar - The Ritz-Carlton...,The Ritz-Carlton,"3,500",4.4,435,['Chinese']
Sree Renukambha Bidadi Thatte Idli,Mysore Road,100,4.4,71,['South Indian']
Loft,HSR,700,4.4,844,"['Cafe', 'Burger', 'Pizza', 'Sandwich']"
Kazé,Lavelle Road,"3,000",4.4,902,"['Asian', 'Japanese', 'Thai']"
TRIGEREATO,Koramangala 8th Block,700,4.4,106,"['Cafe', 'Continental', 'Beverages']"
Farzi Cafe,UB City,"1,500",4.4,2451,['Modern Indian']
Matsuri - The Chancery Hotel,"The Chancery Hotel, Lavelle Road","1,800",4.4,188,['Japanese']
Delhi Highway,Indiranagar,"1,500",4.4,3520,"['North Indian', 'Mughlai']"
Jalsa Gold,"D and N Enterprises, Marathahalli","1,300",4.4,3529,"['North Indian', 'Mughlai', 'Italian']"
The Yellow Submarine,Bannerghatta Road,"1,200",4.4,2190,"['Continental', 'North Indian', 'Chinese', 'Pizza', 'Thai']"
Nasi And Mee,Koramangala 4th Block,"1,000",4.4,2420,"['Malaysian', 'Thai', 'Singaporean', 'Asian', 'Chinese', 'Momos']"
Kanua,Sarjapur Road,"1,400",4.4,899,"['Konkan', 'Mangalorean', 'Seafood']"
OPUS Club,"OPUS, Sarjapur Road","1,900",4.4,1610,"['Continental', 'Italian', 'North Indian', 'Mexican']"
Arena - Artisanal Brewkitchen,Indiranagar,"2,000",4.4,252,"['Sushi', 'Continental', 'Pizza', 'Italian', 'Asian']"
Shiro,UB City,"3,000",4.4,2252,"['Japanese', 'Asian']"
Dhaba - Estd 1986 Delhi,Indiranagar,"1,500",4.4,1569,"['North Indian', 'Mughlai', 'Desserts']"
Secret Of Bangalore,Rajarajeshwari Nagar,"1,200",4.4,721,"['North Indian', 'South Indian', 'Continental', 'Asian', 'Desserts']"
La Casa Brewery And Kitchen,Sarjapur Road,"1,500",4.4,1517,"['Finger Food', 'Continental', 'Seafood']"
Poonam Sweets,Banashankari,150,4.4,369,['Mithai']
Sly Granny - The Community House,Indiranagar,"2,500",4.4,1000,"['Modern Indian', 'European', 'American']"
Bombay Adda,Koramangala 7th Block,"1,100",4.4,2749,['Modern Indian']
Soda Bottle Opener Wala,Lavelle Road,"1,300",4.4,3761,"['Parsi', 'North Indian']"
Deja Vu Resto Bar,"Gopalan Innovation Mall, Bannerghatta",900,4.4,2542,"['North Indian', 'Italian']"
Sri Raghavendra Stores,Malleshwaram,100,4.4,634,['South Indian']
Float,"D and N Enterprises, Marathahalli","1,500",4.4,3168,"['North Indian', 'Japanese']"
OKI,Kammanahalli,"1,200",4.4,438,"['Asian', 'European', 'Italian', 'Korean', 'Malaysian', 'Thai', 'Vietnamese', 'Chinese']"
Bubblewrap Waffle Co.,Jayanagar,400,4.4,368,"['Desserts', 'Beverages']"
The Bier Library,Koramangala 6th Block,"2,000",4.4,704,"['Continental', 'North Indian', 'Pizza', 'BBQ']"
Foxtrot,Marathahalli,"1,200",4.4,1223,"['North Indian', 'Chinese', 'Continental', 'Momos']"
Asha Tiffins,HSR,150,4.4,319,['South Indian']
