rest_index,rest_name,locality,cost_for_two,rating,votes,score,cuisines
211,OPUS Club,"OPUS, Sarjapur Road","1,900",4.4,1610,4.382,"['Continental', 'Italian', 'North Indian', 'Mexican']"
221,Al Amanah Cafe,Kammanahalli,300,4.4,1518,4.381,"['Middle Eastern', 'Fast Food', 'Rolls']"
207,La Casa Brewery And Kitchen,Sarjapur Road,"1,500",4.4,1517,4.381,"['Finger Food', 'Continental', 'Seafood']"
218,Dhaba - Estd 1986 Delhi,Indiranagar,"1,500",4.4,1569,4.381,"['North Indian', 'Mughlai', 'Desserts']"
173,Shizusan Shophouse & Bar,Whitefield,"1,800",4.4,1329,4.378,"['Asian', 'Japanese', 'Vietnamese', 'Korean', 'Chinese', 'Thai']"
78,Fabelle Chocolate Boutique - ITC Gardenia,ITC Gardenia,"1,250",4.5,239,4.378,"['Desserts', 'Ice Cream', 'Beverages']"
199,Mumbai Tiffin,HSR,400,4.4,1328,4.378,['North Indian']
23,The Pancake Story,Koramangala 1st Block,300,4.6,131,4.377,"['Desserts', 'Beverages']"
169,Myu Bar at Gilly's Redefined,"Gilly's Redefined, Koramangala 4th Block","1,200",4.4,1295,4.377,"['American', 'North Indian', 'Pizza', 'Finger Food', 'Continental', 'Italian']"
185,Foxtrot,Marathahalli,"1,200",4.4,1223,4.376,"['North Indian', 'Chinese', 'Continental', 'Momos']"
156,Hae Kum Gang,Brigade Road,"1,100",4.4,1218,4.376,"['Korean', 'Chinese', 'Japanese']"
152,Third Wave Coffee Roasters,Koramangala 4th Block,800,4.4,1242,4.376,"['Cafe', 'Continental', 'Desserts']"
219,Lavonne,Indiranagar,800,4.4,1147,4.375,"['Cafe', 'Desserts']"
143,Oh! Calcutta,Church Street,"1,200",4.4,1157,4.375,"['Bengali', 'Seafood']"
140,Sigree Global Grill,Kalyan Nagar,"1,400",4.4,1131,4.374,"['Rajasthani', 'Gujarati', 'North Indian']"
131,Le Arabia,Basaveshwara Nagar,800,4.4,1037,4.372,"['North Indian', 'Mughlai']"
216,Sly Granny - The Community House,Indiranagar,"2,500",4.4,1000,4.371,"['Modern Indian', 'European', 'American']"
151,YORK St.,Koramangala 5th Block,700,4.4,977,4.37,"['Cafe', 'European', 'Continental']"
129,Kanua,Sarjapur Road,"1,400",4.4,899,4.368,"['Konkan', 'Mangalorean', 'Seafood']"
192,Kazé,Lavelle Road,"3,000",4.4,902,4.368,"['Asian', 'Japanese', 'Thai']"
195,Loft,HSR,700,4.4,844,4.366,"['Cafe', 'Burger', 'Pizza', 'Sandwich']"
68,Apsara Ice Cream,Indiranagar,200,4.5,215,4.366,"['Ice Cream', 'Desserts']"
104,Sixth Avenue Cafe And Patisserie,Koramangala 5th Block,600,4.5,213,4.365,"['Cafe', 'Italian', 'Desserts']"
164,Melange - Radisson Blu,"Radisson Blu, Marathahalli","2,700",4.4,808,4.364,"['North Indian', 'Continental', 'Chinese', 'South Indian']"
64,Chikkanna Tiffin Room,City Market,200,4.5,209,4.363,['South Indian']
224,Ssaffron - Shangri-La Hotel,"Shangri-La Hotel, Vasanth Nagar ","3,000",4.4,758,4.362,['North Indian']
148,Maravanthe,Indiranagar,"1,000",4.4,728,4.361,"['Seafood', 'Mangalorean']"
