rest_index,rest_name,locality,cost_for_two,rating,votes,cuisines
7088,Sri Sapana Dhaba,BTM,300,3.2,13,"['North Indian', 'South Indian', 'Chinese']"
7089,WAH MOMO,"ITPL Main Road, Whitefield",300,3.1,4,['Tibetan']
7090,Kings Court,Kalyan Nagar,800,3.1,12,"['North Indian', 'Mughlai', 'Chinese']"
7091,Go Italia,HSR,500,3.1,9,"['Italian', 'Pizza', 'Fast Food']"
7092,Shanthi Sagar,Uttarahalli,400,3.1,28,"['South Indian', 'North Indian', 'Chinese']"
7093,The Zaika Of Banaras,Marathahalli,350,3.1,27,"['North Indian', 'Street Food']"
7094,Just Eat,Nagarbhavi,400,3.1,76,"['North Indian', 'South Indian']"
7095,Om Sai Baba Mess,HSR,250,3.1,11,['South Indian']
7096,Foodies Hub,Sarjapur Road,500,3.1,8,"['North Indian', 'South Indian', 'Seafood']"
7097,Home Food Punjabi Dhabha,Marathahalli,350,3.1,6,"['North Indian', 'Chinese']"
7098,Sher-E-Punjab,BTM,400,3.1,25,"['North Indian', 'Chinese']"
7099,Nandhanu's Rasoi,Kumaraswamy Layout,400,3.1,183,"['Chinese', 'North Indian']"
7100,Malnad Restaurant,Rajarajeshwari Nagar,400,3.1,4,"['Mangalorean', 'Seafood', 'Andhra', 'North Indian']"
7101,Crispy Crust Pizza,Indiranagar,450,3.1,45,['Pizza']
7102,Subway,Jayanagar,500,3.1,115,"['Healthy Food', 'Sandwich', 'Salad']"
7103,4 States,"RMZ Ecoworld, Bellandur",400,3.1,4,['South Indian']
7104,Hotel Gowdru Mane,Yeshwantpur,400,3.1,114,['North Indian']
7105,Juice Lounge,BTM,250,3.1,28,"['Beverages', 'Healthy Food']"
7106,Bendakaluru Bytes,Vijay Nagar,300,3.1,157,['Fast Food']
7107,Rampyari Chaiwala Netaji Bhajiawala,Sarjapur Road,150,3.1,26,"['Street Food', 'South Indian']"
7108,Rachna's Veg Restaurant,Kanakapura Road,300,3.1,7,"['North Indian', 'Chinese']"
7109,InnerChef,Hennur,500,3.1,79,"['North Indian', 'Continental']"
7110,Sankranthi Veg,Thippasandra,200,3.1,15,"['South Indian', 'North Indian', 'Chinese']"
7111,Bhukkads,Electronic City,400,3.1,64,"['Chinese', 'North Eastern']"
7112,Thindi Palace,Basaveshwara Nagar,600,3.1,61,"['North Indian', 'South Indian', 'Chinese']"
7113,Shri Annapoorneshwari Donne Biryani Karnad,Jalahalli,300,3.1,4,"['South Indian', 'Biryani']"
7114,Cakes & Candles,Koramangala 5th Block,300,3.1,11,"['Bakery', 'Desserts']"
7115,Fresh Lemon Soda,"Royal Meenakshi Mall, Bannerghatta Road",150,3.1,5,"['Beverages', 'Street Food']"
7116,Aroma's Of India,Jakkur,500,3.1,4,"['Mughlai', 'North Indian']"
7117,Kalavara Restaurant,Peenya,450,3.1,6,"['South Indian', 'Fast Food']"
7118,Multi Cakes,Bannerghatta Road,200,3.1,10,"['Bakery', 'Desserts']"
7119,Jhanhavi Restaurant,Marathahalli,400,3.1,108,"['North Indian', 'Chinese', 'South Indian', 'Biryani']"
7120,Heavens Gate Dhaba,Kanakapura Road,400,3.1,19,"['Chinese', 'North Indian']"
7121,Dragon's Kitchen,HSR,500,3.1,250,['Chinese']
7122,Hunter's Lounge,Electronic City,500,3.1,9,"['South Indian', 'North Indian', 'Chinese']"
7123,Sri Krishna Sagar,JP Nagar,300,3.1,55,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
7124,Mothers Recipe Restaurant,Frazer Town,600,3.1,11,"['South Indian', 'North Indian', 'Chinese']"
7125,New Kadai Family Restaurant,Rammurthy Nagar,600,3.1,20,"['North Indian', 'Chinese', 'Biryani']"
7126,Little Nature,Marathahalli,250,3.1,46,"['Juices', 'Ice Cream', 'Fast Food']"
7127,Ur Cutlet Factory,HSR,200,3.1,5,['Fast Food']
7128,Lord of Combos,HSR,500,3.1,29,"['North Indian', 'South Indian', 'Fast Food']"
7129,Oggarane Dabbi Chandrappa Hotel,Nagarbhavi,300,3.1,19,"['South Indian', 'Fast Food']"
7130,Aahara Kuteera,Nagarbhavi,200,3.1,11,['Street Food']
7131,Bihar Bhojanalaya,New BEL Road,200,3.1,14,"['North Indian', 'Bihari']"
7132,Ghar Ki Rasoi,Indiranagar,500,3.1,50,"['North Indian', 'Chinese', 'Italian']"
7133,Cake Bake,Vijay Nagar,100,3.1,6,"['Bakery', 'Desserts']"
7134,Impes Family Restaurant,KR Puram,550,3.1,28,"['Mughlai', 'Chinese', 'Biryani']"
7135,Kids Tiffin,HSR,400,3.1,6,['North Indian']
7136,Roofnic,Basavanagudi,300,3.1,9,"['Fast Food', 'Beverages']"
7137,Bake and Fry,RT Nagar,400,3.1,9,"['Fast Food', 'Sandwich']"
7138,Kotae Garden,Electronic City,450,3.1,10,"['North Indian', 'Chinese', 'Andhra']"
7139,The Spice Factory,HSR,550,3.1,29,"['North Indian', 'Mughlai', 'Chinese']"
7140,Punjab Di Shaan,HSR,450,3.1,47,['North Indian']
7141,1TO3 Kitchen,Marathahalli,800,3.1,11,"['North Indian', 'Chinese', 'Continental', 'Italian', 'South Indian']"
7142,China Town 07,BTM,300,3.1,5,"['Chinese', 'Momos']"
7143,Burger Bite House,Old Airport Road,500,3.1,4,"['Burger', 'Fast Food']"
7144,Detox Kitchen,HSR,500,3.1,9,"['Healthy Food', 'Beverages', 'Salad']"
7145,Freso Foods,Yeshwantpur,400,3.1,8,"['North Indian', 'Fast Food']"
7146,Shakthi Bar and Restaurant,RT Nagar,900,3.1,12,"['North Indian', 'South Indian', 'Chinese']"
7147,Kickin Burger,Jayanagar,400,3.1,22,['Fast Food']
7148,Odians,Marathahalli,500,3.1,46,"['North Indian', 'Chinese', 'Oriya']"
7149,Dash In,BTM,600,3.1,53,"['North Indian', 'Chinese', 'Kerala']"
7150,It's Mirchi - Ramee Guestline Hotels,Ramee Guestline Hotels,"1,600",3.1,20,"['Continental', 'Mughlai']"
7151,Chettinad Food House,BTM,300,3.1,7,"['South Indian', 'Chettinad', 'North Indian']"
7152,Delices,Ulsoor,400,3.1,6,"['Bakery', 'Desserts']"
7153,Dev's Gugababa,BTM,500,3.1,181,"['Bengali', 'North Indian', 'Chinese']"
7154,Aangan - Ramanashree California,Ramanashree California,800,3.1,11,['North Indian']
7155,Romy's Kitchen,Marathahalli,450,3.1,4,"['North Indian', 'Chinese']"
7156,Cafe Box,Rajarajeshwari Nagar,300,3.1,16,"['Fast Food', 'Italian']"
7157,New Grand Restaurant,BTM,500,3.1,11,"['North Indian', 'South Indian', 'Biryani']"
7158,Indori Zaika,Bellandur,300,3.1,8,['North Indian']
7159,Red Chilli Restaurant,Bannerghatta Road,350,3.1,96,"['North Indian', 'Chinese']"
7160,Hotel Coorg Style,JP Nagar,350,3.1,9,['South Indian']
7161,Bhagini Icon Boutique Hotel,Indiranagar,600,3.1,6,"['South Indian', 'North Indian', 'Continental']"
7162,Gangothri Kabab Corner,BTM,400,3.1,18,['North Indian']
7163,Shree Durgamba Juice Centre,Koramangala 8th Block,200,3.1,9,['Beverages']
7164,Nagas,JP Nagar,300,3.1,11,"['Andhra', 'Hyderabadi', 'North Indian']"
7165,Coorg Biriyani Palace,Jalahalli,400,3.1,4,"['North Indian', 'Chinese', 'Biryani']"
7166,Shanghai Xpress,Kammanahalli,300,3.1,11,['Chinese']
7167,Mayu Restaurant,Jalahalli,500,3.1,32,"['North Indian', 'Chinese', 'Seafood']"
7168,Kannoor Restaurant,BTM,700,3.1,20,"['Kerala', 'Chinese', 'South Indian', 'North Indian']"
7169,Venus Biryani,Domlur,200,3.1,151,"['Biryani', 'Chinese']"
7170,Wood Fire Pizza,HBR Layout,350,3.1,4,['Pizza']
